State   County  Year    UFOSightingCount   Population_Density   Housing_Density Urban_Rural
Texas  hardin  2007  1  61.3  25.4   Rural
West Virginia  summers  1998  2  36.0  20.3   Rural
California  kern  2002  8  103.3  35.0   Rural
New York  warren  2001  1  75.8  44.7   Rural
Iowa  warren  1999  1  71.1  26.7   Rural
Massachusetts  berkshire  2007  3  141.6  73.9   Rural
Georgia  franklin  2004  1  84.5  40.4   Rural
North Dakota  nelson  2001  1  3.2  2.0   Rural
Tennessee  robertson  2005  1  139.2  54.8   Rural
Iowa  adair  2007  1  13.5  6.5   Rural
Ohio  richland  2007  1  251.3  110.2   Rural
New Jersey  union  2003  5  5216.1  1939.5   Urban
Tennessee  hamilton  2004  1  620.3  278.6   Rural
Michigan  manistee  1998  2  45.1  26.3   Rural
Florida  charlotte  2010  2  235.2  147.9   Rural
California  tehama  2006  2  21.5  9.1   Rural
New Hampshire  belknap  2007  3  150.1  93.4   Rural
Michigan  lenawee  1991  1  131.8  53.0   Rural
Minnesota  winona  2006  1  82.2  33.2   Rural
Virginia  spotsylvania  2006  1  304.9  112.5   Rural
Texas  parmer  1999  1  11.4  4.2   Rural
Tennessee  shelby  2000  5  1189.4  481.0   Rural
Florida  hillsborough  2009  19  1204.9  525.5   Urban
North Carolina  craven  2005  1  146.0  63.5   Rural
California  san mateo  2008  31  1602.2  604.4   Urban
Iowa  cass  2001  1  24.7  11.7   Rural
Wisconsin  brown  2007  1  468.2  197.0   Rural
Hawaii  kauai  2000  5  93.9  40.7   Rural
Hawaii  hawaii  2008  6  45.9  20.4   Rural
West Virginia  fayette  2010  1  69.6  32.7   Rural
Virginia  chesterfield  1992  1  610.5  229.5   Rural
Texas  brazos  2003  2  332.8  132.7   Rural
Utah  davis  2007  1  1025.8  326.6   Rural
Ohio  wyandot  1999  1  56.5  23.0   Rural
Virginia  loudoun  2006  1  605.8  212.3   Rural
Maine  penobscot  2003  6  45.3  21.7   Rural
Montana  big horn  1993  1  2.5  0.9   Rural
Washington  kittitas  1999  2  14.5  7.2   Rural
New Mexico  otero  2005  1  9.6  4.7   Rural
Virginia  henrico  2006  1  1313.4  568.2   Urban
Wisconsin  price  1995  1  12.6  7.6   Rural
New York  chautauqua  2002  1  127.2  63.1   Rural
Arizona  navajo  1997  1  9.8  4.8   Rural
Florida  monroe  2006  3  74.3  53.7   Rural
California  ventura  1994  1  408.2  136.4   Rural
Iowa  black hawk  2006  3  231.7  98.8   Rural
Colorado  larimer  1992  1  96.7  40.5   Rural
North Carolina  cabarrus  2002  2  492.1  198.9   Rural
Ohio  ross  2009  1  113.3  46.6   Rural
Tennessee  sumner  2010  4  303.4  124.6   Rural
North Carolina  buncombe  2003  6  362.9  172.6   Rural
Pennsylvania  butler  2002  1  233.1  99.1   Rural
Colorado  jefferson  2010  4  699.5  300.9   Rural
Ohio  trumbull  1994  1  365.2  154.3   Rural
Ohio  franklin  2001  1  2186.1  990.6   Urban
New Jersey  hunterdon  2001  2  300.0  115.7   Rural
Wisconsin  portage  2008  2  87.4  37.5   Rural
Oregon  clackamas  2010  6  201.0  83.9   Rural
North Carolina  henderson  2001  1  286.1  146.6   Rural
Washington  spokane  2002  11  267.2  114.2   Rural
New York  putnam  2008  2  432.9  166.0   Rural
Michigan  livingston  2009  2  320.2  128.8   Rural
Idaho  lewis  1992  3  7.8  3.7   Rural
Ohio  summit  1998  1  1315.4  559.4   Urban
California  humboldt  2006  4  37.7  17.3   Rural
New York  niagara  1995  1  420.4  183.0   Rural
Georgia  coweta  1998  2  201.6  75.0   Rural
Illinois  jefferson  1998  1  70.1  29.8   Rural
New York  chemung  2000  3  223.1  92.5   Rural
West Virginia  monongalia  2005  4  267.1  120.1   Rural
New York  tompkins  2006  2  214.0  87.8   Rural
Oregon  douglas  2007  3  21.4  9.7   Rural
Wisconsin  bayfield  2008  2  10.2  8.8   Rural
Montana  yellowstone  1996  1  49.1  20.7   Rural
Washington  clallam  1995  4  37.1  17.6   Rural
Colorado  weld  2001  7  63.4  24.1   Rural
Texas  montgomery  2003  3  437.5  170.5   Rural
Virginia  rockingham  2010  1  89.9  39.6   Rural
Alabama  randolph  1995  1  38.5  17.7   Rural
New Hampshire  strafford  2009  3  333.7  140.1   Rural
California  butte  2000  1  123.9  52.2   Rural
South Dakota  shannon  2003  1  6.5  1.7   Rural
Florida  martin  2001  1  1315.5  521.4   Urban
Pennsylvania  mifflin  2007  1  113.6  52.4   Rural
West Virginia  wayne  1995  1  84.8  37.8   Rural
Oregon  clatsop  1998  1  43.1  23.8   Rural
Minnesota  hennepin  2002  3  2081.7  920.3   Urban
Kentucky  fayette  2009  3  1042.8  476.5   Rural
Arizona  maricopa  2006  65  414.9  178.2   Rural
Missouri  greene  2003  1  407.5  185.7   Rural
Minnesota  steele  2007  1  85.1  35.7   Rural
California  placer  2001  4  247.6  108.5   Rural
Florida  santa rosa  2001  1  149.6  64.0   Rural
Georgia  paulding  2006  2  455.8  167.0   Rural
Texas  la salle  2009  1  4.6  1.8   Rural
North Dakota  richland  2008  1  11.4  5.2   Rural
Texas  comal  2001  6  193.9  84.2   Rural
Kansas  cloud  1995  1  14.3  6.8   Rural
Alabama  madison  1999  5  343.8  149.4   Rural
Florida  levy  2009  2  36.5  18.0   Rural
New Mexico  sandoval  2004  12  35.5  14.1   Rural
Michigan  chippewa  2001  1  24.7  13.6   Rural
Texas  anderson  2008  2  55.0  18.9   Rural
Rhode Island  washington  1997  2  371.3  170.7   Rural
Michigan  barry  2004  1  107.0  48.8   Rural
New York  suffolk  1998  4  1556.0  572.6   Urban
Arizona  pinal  2003  9  70.0  29.7   Rural
Florida  volusia  2009  9  449.2  230.9   Rural
New York  otsego  2004  3  62.2  30.7   Rural
Arizona  coconino  2002  8  7.2  3.4   Rural
Texas  dallas  1993  2  2522.6  971.0   Urban
Washington  pierce  2006  8  476.3  194.9   Rural
Tennessee  stewart  2002  1  29.0  14.8   Rural
Rhode Island  providence  2004  8  1530.3  646.7   Urban
North Carolina  dare  1992  1  78.1  69.5   Rural
Illinois  cook  1999  26  5685.6  2216.5   Urban
Idaho  bingham  2010  2  21.8  7.7   Rural
Hawaii  honolulu  2010  11  1586.7  560.8   Urban
Pennsylvania  centre  1997  1  122.6  48.0   Rural
Wisconsin  dane  1995  3  354.9  150.1   Rural
Wisconsin  rock  2005  1  223.3  95.3   Rural
Indiana  porter  2004  1  393.0  158.3   Rural
Wisconsin  ashland  2006  1  15.5  9.2   Rural
Nevada  washoe  2010  2  66.9  29.3   Rural
Georgia  clarke  2008  5  979.1  428.4   Rural
Texas  cameron  2003  2  456.0  159.3   Rural
Tennessee  blount  2006  4  220.2  98.9   Rural
Utah  box elder  1998  1  7.5  2.5   Rural
Texas  robertson  2002  1  19.4  9.9   Rural
Indiana  howard  2007  1  282.4  132.0   Rural
Wisconsin  wood  2001  3  94.2  43.0   Rural
Georgia  columbia  2010  1  427.6  167.6   Rural
New Jersey  sussex  2000  1  276.6  108.4   Rural
Virginia  pittsylvania  2001  2  65.5  32.3   Rural
Texas  kerr  1998  1  39.5  18.3   Rural
Georgia  fulton  1997  1  1543.5  659.5   Urban
West Virginia  marshall  2000  1  115.7  51.5   Rural
Illinois  clark  1997  1  33.9  15.6   Rural
Georgia  monroe  2007  1  66.8  27.1   Rural
Indiana  lake  1998  2  975.0  392.4   Rural
North Carolina  ashe  2008  1  64.0  40.7   Rural
Pennsylvania  schuylkill  1995  1  193.1  87.1   Rural
New Jersey  passaic  2006  1  2715.3  953.3   Urban
Nebraska  hall  2008  1  107.3  43.1   Rural
Florida  sarasota  2000  2  570.3  319.2   Rural
California  kings  1999  1  93.1  26.3   Rural
Delaware  sussex  2008  4  210.6  131.4   Rural
New York  ulster  1994  4  157.8  68.9   Rural
Idaho  ada  2009  9  372.8  151.5   Rural
Pennsylvania  berks  2009  2  480.4  192.4   Rural
Georgia  dekalb  2004  2  2585.7  1139.7   Urban
Arizona  graham  2004  1  8.1  2.8   Rural
Texas  burnet  2005  5  43.0  21.0   Rural
New York  yates  2008  2  75.0  39.9   Rural
Washington  yakima  2004  9  56.6  19.9   Rural
Alabama  bullock  2003  1  17.5  7.2   Rural
Georgia  peach  2008  1  184.3  73.5   Rural
Ohio  jackson  2009  2  79.0  34.7   Rural
Delaware  new castle  2003  3  1263.2  510.2   Urban
Alabama  mobile  2008  2  335.9  144.9   Rural
Georgia  bartow  1998  1  165.5  62.6   Rural
Wisconsin  columbia  2004  2  74.2  34.1   Rural
Iowa  jasper  1999  2  51.0  21.5   Rural
Florida  palm beach  1993  1  573.0  281.9   Rural
Wisconsin  winnebago  2008  5  384.3  168.8   Rural
Alabama  montgomery  2009  1  292.5  129.6   Rural
Tennessee  williamson  2001  2  314.4  117.6   Rural
Florida  leon  2002  2  413.1  186.2   Rural
Alabama  morgan  1999  1  190.8  81.4   Rural
Arkansas  sebastian  2002  2  236.4  102.7   Rural
Florida  pasco  1994  2  462.9  233.2   Rural
Ohio  brown  2008  1  91.5  39.4   Rural
New York  rockland  1999  1  1645.9  545.1   Urban
Montana  missoula  2003  1  42.1  19.3   Rural
Georgia  houston  2001  2  372.5  155.3   Rural
Pennsylvania  tioga  1998  1  36.5  17.5   Rural
Tennessee  overton  2008  1  50.9  23.7   Rural
Maryland  cecil  1993  2  246.9  99.0   Rural
Kentucky  bourbon  2002  1  69.0  30.8   Rural
Georgia  dawson  2007  2  105.9  49.4   Rural
North Carolina  davie  2006  1  156.1  69.1   Rural
Missouri  cass  2008  2  142.8  57.4   Rural
Tennessee  bedford  2009  1  95.1  38.8   Rural
Illinois  franklin  2001  1  96.8  45.3   Rural
Texas  falls  2002  1  23.3  10.1   Rural
West Virginia  lincoln  2006  2  49.7  22.6   Rural
Tennessee  putnam  2009  1  180.3  79.5   Rural
Georgia  henry  2009  4  633.0  237.6   Rural
Kentucky  jessamine  2007  1  282.3  112.3   Rural
Washington  whatcom  2010  5  95.5  43.0   Rural
Colorado  routt  1998  1  8.3  4.7   Rural
Tennessee  hamilton  1999  2  567.6  248.3   Rural
Wisconsin  washington  2003  2  306.2  127.0   Rural
Nebraska  sheridan  1993  1  2.5  1.2   Rural
Minnesota  goodhue  2003  1  61.0  26.9   Rural
Connecticut  fairfield  2001  7  1467.2  578.1   Urban
Kansas  greenwood  2004  1  5.9  3.6   Rural
Iowa  wapello  2004  1  82.5  37.3   Rural
Florida  hillsborough  2000  2  950.6  405.3   Rural
Oregon  coos  2007  1  39.5  19.2   Rural
Tennessee  shelby  2009  3  1215.5  521.9   Urban
Indiana  carroll  2004  2  54.1  25.4   Rural
North Carolina  craven  2010  1  146.0  63.5   Rural
Missouri  morgan  2004  2  34.4  26.0   Rural
Maine  oxford  2004  1  27.8  17.4   Rural
Utah  davis  2008  2  1025.8  326.6   Rural
Texas  tom green  2010  3  72.4  30.6   Rural
New York  orange  2002  4  459.3  168.8   Rural
Wyoming  teton  2003  2  5.3  3.2   Rural
Maine  penobscot  2010  1  45.3  21.7   Rural
Kansas  harvey  2000  1  60.9  24.8   Rural
Florida  okaloosa  1998  1  182.2  84.0   Rural
Idaho  canyon  2009  2  321.6  118.2   Rural
Virginia  henrico  2009  1  1313.4  568.2   Urban
New Mexico  otero  1996  2  9.4  4.4   Rural
California  san bernardino  1999  14  85.2  30.0   Rural
North Carolina  wilson  2005  1  220.6  96.5   Rural
Maryland  howard  2010  1  1144.9  435.8   Rural
Georgia  floyd  2008  1  188.9  79.5   Rural
Tennessee  rutherford  2001  4  424.0  166.2   Rural
Tennessee  coffee  2003  3  123.1  54.6   Rural
South Carolina  lexington  1995  2  308.9  130.1   Rural
Oregon  umatilla  2007  1  23.6  9.2   Rural
Iowa  benton  2002  1  36.4  15.5   Rural
Colorado  chaffee  1995  1  16.0  8.3   Rural
Iowa  black hawk  2009  1  231.7  98.8   Rural
Colorado  larimer  2001  6  115.4  51.1   Rural
Ohio  ross  2002  2  113.3  46.6   Rural
North Carolina  cabarrus  2009  1  492.1  198.9   Rural
Wisconsin  pierce  1998  1  63.8  23.4   Rural
Pennsylvania  butler  1997  1  220.8  88.6   Rural
Mississippi  lauderdale  2008  1  114.1  49.3   Rural
New York  westchester  1991  2  2133.6  807.4   Urban
Georgia  douglas  2004  4  661.8  258.3   Rural
Ohio  trumbull  2003  4  340.1  155.5   Rural
New Jersey  hunterdon  2008  6  300.0  115.7   Rural
Tennessee  davidson  2009  10  1243.3  563.4   Urban
Washington  spokane  1995  5  237.0  99.2   Rural
Kansas  douglas  2008  1  243.1  102.5   Rural
Oregon  lane  2008  9  77.2  34.3   Rural
Ohio  summit  2009  2  1312.6  593.8   Urban
Georgia  burke  2004  1  28.2  11.9   Rural
New York  chemung  2009  4  218.1  94.2   Rural
Washington  lincoln  2000  1  4.4  2.3   Rural
Missouri  crawford  2003  1  33.3  16.1   Rural
Indiana  kosciusko  2009  1  145.6  69.7   Rural
Colorado  la plata  2006  1  30.3  15.3   Rural
Texas  bee  2005  1  36.2  12.1   Rural
Kentucky  wayne  2009  1  45.4  23.9   Rural
Florida  walton  2010  3  53.0  43.5   Rural
South Dakota  shannon  2010  1  6.5  1.7   Rural
California  butte  2009  4  134.4  58.6   Rural
Texas  bell  2000  3  224.6  87.6   Rural
Oregon  klamath  2002  3  11.2  5.5   Rural
Missouri  howell  2002  1  43.6  19.4   Rural
Missouri  carroll  2005  1  13.4  6.7   Rural
Mississippi  leflore  2007  3  54.5  22.3   Rural
North Carolina  cumberland  1997  1  464.2  181.4   Rural
New York  madison  2007  1  112.2  48.5   Rural
Alabama  baldwin  2007  5  114.6  65.5   Rural
Missouri  greene  2010  6  407.5  185.7   Rural
Kentucky  fayette  2006  2  1042.8  476.5   Rural
Texas  tyler  1996  1  22.6  11.3   Rural
Indiana  posey  1998  1  66.2  27.1   Rural
California  placer  2008  5  247.6  108.5   Rural
Illinois  peoria  2000  3  296.1  126.2   Rural
Montana  hill  2000  1  5.8  2.6   Rural
Kansas  labette  2008  1  33.5  15.6   Rural
Oklahoma  lincoln  2006  1  36.0  16.0   Rural
Idaho  jefferson  2007  1  23.9  8.0   Rural
Georgia  paulding  1999  1  260.6  93.4   Rural
Texas  comal  2008  19  193.9  84.2   Rural
Oklahoma  pontotoc  2001  1  52.0  23.0   Rural
North Carolina  new hanover  1996  2  805.8  400.2   Rural
New York  lewis  2001  1  21.3  11.9   Rural
Rhode Island  washington  2010  7  385.7  188.9   Rural
New York  suffolk  2001  10  1637.4  624.9   Urban
Idaho  benewah  2007  1  12.0  6.0   Rural
Texas  hidalgo  2007  4  493.2  158.1   Rural
Arizona  pinal  2010  1  70.0  29.7   Rural
New York  franklin  2003  1  31.7  15.5   Rural
Hawaii  honolulu  2003  4  1586.7  560.8   Urban
Florida  collier  1998  1  124.1  71.4   Rural
Wisconsin  rock  1998  1  211.4  86.3   Rural
Wisconsin  dane  2000  2  354.9  150.1   Rural
Georgia  colquitt  1998  1  76.1  31.8   Rural
Texas  mclennan  2007  3  226.5  91.7   Rural
Michigan  jackson  2002  1  228.4  99.0   Rural
Maine  waldo  1997  1  49.7  25.9   Rural
Texas  hays  2007  14  231.7  87.6   Rural
Massachusetts  essex  1996  1  1444.9  573.5   Urban
New York  albany  1998  3  562.7  248.3   Rural
Maryland  worcester  2003  1  7671.5  3665.3   Urban
Utah  carbon  2000  1  13.8  5.9   Rural
Michigan  clare  1998  1  55.1  39.2   Rural
Illinois  clark  2006  1  32.6  15.5   Rural
Pennsylvania  forest  2004  1  18.1  20.5   Rural
North Dakota  stark  2010  1  18.1  8.0   Rural
Oklahoma  ottawa  1999  1  70.4  31.5   Rural
North Carolina  ashe  2007  1  64.0  40.7   Rural
Nebraska  hall  2001  1  107.3  43.1   Rural
Delaware  sussex  2001  1  210.6  131.4   Rural
Florida  polk  2010  5  334.9  156.4   Rural
Montana  cascade  2007  1  30.1  13.8   Rural
Pennsylvania  berks  1998  1  435.0  174.9   Rural
New Mexico  rio arriba  2005  2  6.9  3.4   Rural
Washington  adams  1999  1  8.5  3.0   Rural
Indiana  wayne  1999  1  176.2  75.5   Rural
Texas  reeves  2008  1  5.2  1.8   Rural
California  monterey  2005  1  126.5  42.4   Rural
North Carolina  randolph  2006  1  181.1  78.0   Rural
Indiana  miami  2009  1  98.7  41.4   Rural
Texas  travis  2003  3  1034.4  445.6   Rural
Ohio  vinton  2003  1  32.6  15.3   Rural
Texas  rains  2005  1  47.6  23.0   Rural
Iowa  woodbury  2008  1  117.1  47.5   Rural
Tennessee  anderson  2006  2  222.8  103.0   Rural
Florida  palm beach  2000  11  573.0  281.9   Rural
Texas  wilson  2010  1  53.4  20.9   Rural
Wisconsin  lincoln  2005  3  32.7  19.1   Rural
Kentucky  jefferson  2005  6  1948.1  887.5   Urban
Florida  alachua  2003  4  282.7  128.9   Rural
Florida  pasco  2001  1  622.2  306.5   Rural
Utah  cache  1998  2  78.5  24.9   Rural
Oregon  yamhill  1995  1  118.8  42.3   Rural
Georgia  hall  2003  1  457.5  175.2   Rural
Illinois  vermilion  2006  3  90.9  40.4   Rural
Texas  crockett  2009  1  1.3  0.7   Rural
California  inyo  1992  1  1.8  0.9   Rural
Florida  escambia  2008  1  453.4  208.2   Rural
Oregon  lincoln  2001  2  47.0  31.2   Rural
Wisconsin  walworth  2005  3  184.2  92.8   Rural
Michigan  shiawassee  1995  1  133.1  54.0   Rural
Illinois  boone  2005  1  193.0  71.1   Rural
Colorado  routt  2005  1  10.0  6.9   Rural
New York  chenango  2009  2  56.5  27.7   Rural
Wisconsin  washington  2010  1  306.2  127.0   Rural
Maine  cumberland  1997  1  317.9  146.7   Rural
Illinois  dupage  2007  16  2799.8  1087.6   Urban
Connecticut  fairfield  2010  1  1467.2  578.1   Urban
Utah  weber  2005  5  401.4  149.6   Rural
Virginia  montgomery  1995  1  215.4  83.8   Rural
Arizona  yavapai  2003  5  26.0  13.6   Rural
Virginia  chesterfield  2010  2  747.1  289.5   Rural
Pennsylvania  crawford  1998  1  89.2  41.9   Rural
Texas  randall  1993  1  114.1  47.3   Rural
Idaho  canyon  2002  2  321.6  118.2   Rural
Mississippi  yazoo  2010  2  30.4  10.9   Rural
New Mexico  otero  1991  1  9.4  4.4   Rural
Maryland  howard  2005  4  1144.9  435.8   Rural
Massachusetts  plymouth  2006  4  750.9  303.7   Rural
Tennessee  rutherford  2008  3  424.0  166.2   Rural
Pennsylvania  greene  2007  1  67.2  28.6   Rural
Maine  hancock  2001  1  34.3  25.3   Rural
Ohio  athens  2005  1  128.6  52.4   Rural
Texas  madison  2005  1  29.3  10.9   Rural
Colorado  jefferson  1996  1  682.6  275.2   Rural
New Mexico  san miguel  1995  1  6.4  3.0   Rural
New York  westchester  2000  3  2133.6  807.4   Urban
Missouri  cooper  1997  1  29.5  11.8   Rural
Kansas  reno  2005  1  51.4  22.5   Rural
Tennessee  davidson  2000  1  1134.6  503.7   Urban
New Jersey  cape may  2008  2  386.9  391.0   Rural
Puerto Rico  san lorenzo  1999  1  771.4  274.6   Rural
Kansas  douglas  2003  1  243.1  102.5   Rural
Oregon  lane  2003  8  77.2  34.3   Rural
New York  columbia  2010  1  99.4  51.6   Rural
Florida  manatee  2002  6  434.5  232.4   Rural
North Carolina  bladen  2009  1  40.2  20.3   Rural
West Virginia  harrison  2006  1  166.1  75.6   Rural
Missouri  crawford  2008  1  33.3  16.1   Rural
Indiana  grant  1999  1  177.3  73.8   Rural
Florida  walton  2003  4  53.0  43.5   Rural
Arkansas  conway  2000  1  36.6  16.2   Rural
New Hampshire  strafford  1995  1  304.4  123.5   Rural
Texas  bell  2009  4  295.2  119.4   Rural
Kentucky  oldham  1999  1  244.1  82.1   Rural
North Carolina  johnston  2009  1  213.4  85.5   Rural
Oregon  klamath  1995  3  10.7  4.9   Rural
Nebraska  thomas  2007  1  0.9  0.6   Rural
Tennessee  dekalb  1999  2  57.2  27.6   Rural
Missouri  greene  1997  2  356.1  154.8   Rural
Illinois  pulaski  1996  1  36.6  16.7   Rural
New Jersey  camden  2010  4  2321.5  926.2   Urban
Texas  tyler  2003  1  23.5  11.4   Rural
California  yolo  2006  4  197.9  74.0   Rural
Wisconsin  barron  2008  1  53.2  27.4   Rural
Oklahoma  rogers  2006  4  128.6  52.0   Rural
Indiana  johnson  2006  3  435.8  176.8   Rural
Florida  levy  1995  1  30.8  14.8   Rural
Nebraska  sarpy  2005  5  664.6  259.2   Rural
North Carolina  new hanover  2005  4  1058.1  529.6   Urban
Georgia  talbot  2002  1  17.5  8.7   Rural
Mississippi  rankin  2003  1  182.6  72.8   Rural
North Carolina  rowan  2004  1  270.7  117.7   Rural
Michigan  marquette  2005  1  37.1  19.0   Rural
New York  suffolk  2008  32  1637.4  624.9   Urban
Alabama  etowah  1995  1  193.4  85.9   Rural
South Carolina  lancaster  2005  1  139.6  59.5   Rural
California  san diego  2006  45  735.8  276.9   Rural
Maryland  dorchester  2000  1  55.0  26.3   Rural
North Carolina  wake  2005  9  1078.8  445.2   Rural
Illinois  fulton  1998  1  44.2  18.8   Rural
